geneName	SKG_rep3
Ripk4	0
Pde1a	0
Enpp4	1481
Gimap8	3767
Igsf1	0
Fbf1	2597
Atraid	1122
Mir496b	0
Dock9	1349
Wdr76	124
Crtac1	0
Gm38402	0
Paqr7	1656
Phf23	2540
Ms4a8a	0
Olfr1053	0
Tpm1	2200
Gramd4	12107
Polk	1
Syne1	711
Dbi	512
Daxx	2109
Cyp1a1	0
Cyp11b2	0
Cyp46a1	451
Oog3	0
Eif4ebp3	342
Mprip	1950
Mir6411	0
Grin3a	0
Epc1	2827
Dnm1l	7723
Exoc3l4	0
Ccdc121	0
Defb21	0
Klk1	0
Rfc1	4948
Rbp4	0
Rbp1	0
Gm1553	0
Esp16	0
Zfp850	1039
Tnip1	3954
Smarcd1	3824
Kis2	0
Lpcat1	514
Dnm1	0
Secisbp2l	1855
Rragd	0
Lrp8	2
Hsf4	0
Ampd3	1
Mgst2	1172
Sh3bp1	5100
Usf1	4940
Wdr44	2313
Adamts10	1152
Col26a1	0
C2cd6	0
Gm27775	0
Mir24-1	0
Itpa	1066
Gm2026	0
Rint1	1876
Vasp	10410
Pla2g4a	0
Igfbp7	0
Gdf5	0
Rgl2	7215
Ptpra	5062
Rabggta	4470
Ccdc186	7
Slc16a11	0
Timm10b	2410
Arvcf	22
Syt8	0
Kcnj15	0
Palld	0
Csde1	12551
Dctn6	4356
Slc26a1	0
Fgd4	0
Tpk1	1
Mgme1	124
St7	1836
Azin2	0
Rgs21	0
Ddit3	1553
Ltbp1	2
Cc2d2a	0
Dmp1	0
Gpr135	0
Ffar4	0
Aida	282
Mir6418	0
A730020M07Rik	0
Homer3	115
Hint3	338
Etfdh	1753
Alg6	1
Slc44a5	0
Tspan2	1
Rufy3	125
Als2	3102
Vgll1	0
Nus1	1520
Cttnbp2nl	0
Adamts18	0
Il19	0
Asb18	0
Mettl18	2
Zfp819	0
Tm4sf1	0
Ubap1	4301
1700049E22Rik	0
A730008H23Rik	0
Iqch	0
Slc2a4rg-ps	409
Retreg1	2946
A330048O09Rik	0
Fhl1	41
Npbwr1	0
Hnrnpf	19889
Sfxn4	6
Sfxn3	5167
2310057N15Rik	0
Camsap2	4
A930033H14Rik	0
Psmc5	9941
Fli1	2519
Peg12	0
Mlip	0
Ptx4	0
Cldn10	148
Rad18	534
Mrpl53	1014
Tspan11	0
H2al2a	0
Nadsyn1	1376
Trim42	0
Lrrc40	4798
Spag16	1
Gvin1	0
Hmx1	0
Cxcl11	0
4933439C10Rik	187
Pdcd4	4980
Pik3c2g	4
Krtap4-9	0
Zeb2	78
BC031181	6383
Scrt2	0
Cyp39a1	0
Rpap3	1760
Iltifb	0
Pmfbp1	0
Armcx3	479
Ccdc153	0
Lama1	1
Fanca	1
Naa30	11
Ovch2	0
Nkg7	122
Rap1gap	0
Chchd6	0
Olfr78	0
Zfp57	0
Rapgef4	4
Zbed4	388
Gtf2h3	3908
Fcgrt	843
Mapk1	17294
Ahcyl1	7928
Cox7b2	0
Rgs17	0
Mzf1	625
Cdk2ap1	137
Adam34	0
Srcin1	1
Nphs1	0
Tsnaxip1	0
Phyh	3338
Vdac1	5068
Grb2	9120
Pax7	0
Elane	0
Zcchc18	1
Smarcd3	1
Khdc3	0
Rab5a	4014
Slc25a23	250
Mir6975	0
Olfr15	0
Cd68	1064
Sh3kbp1	21707
Mir6980	0
Mir6976	0
Pan3	1519
4930550C14Rik	0
Cobll1	1372
Tmsb15a	0
Prl3c1	0
Dguok	1319
Rpl3	21855
Cntn6	0
Ap1ar	3155
Barhl1	0
Fmn2	0
Srfbp1	3231
Actrt2	0
Ccdc30	509
Myl12a	16190
Stard3nl	3514
Xaf1	2
Kansl2	7465
Otub1	6407
C2cd5	3662
Capza1	9471
Asap1	11301
Alyref	9303
Prkacb	11409
A630077J23Rik	0
Scyl2	2997
1700095B10Rik	0
Gm12505	0
Fhad1os1	0
Rgs19	3551
LOC100125594	0
AY702102	0
Ctbp1	16225
Txndc16	1456
Oxt	0
Mfap2	228
Strit1	0
Ncor2	345
Slxl1	0
Avpr1b	0
Gm20556	0
4930452N14Rik	0
Fam229a	0
Skint3	0
Ckm	15
Ncan	0
A830082K12Rik	0
Ablim2	0
Fgf1	0
Armt1	2611
Ncbp3	295
Slc15a3	0
Ccnc	1505
Atp2a3	15260
2810004N23Rik	2549
Rwdd1	2516
Grtp1	523
Podxl	0
A330076C08Rik	0
4930532M18Rik	0
Zfp617	612
C1ql1	0
Bpnt1	684
Ube3a	5006
Ubb	84836
Tyr	0
Nob1	2333
Med21	694
Sostdc1	0
Ftsj3	14642
Gdpd3	2
Tjap1	2404
Mrps7	3384
Stau2	2
Paqr5	0
Mir6940	0
Mir6939	0
Mir6942	7
Clasp1	11
Rbm10	6167
Mrgprd	0
Slc41a3	720
Flot2	5197
Ccnyl1	0
Ecm1	7326
Cd82	5901
Anks1	896
Syt6	5
Gm20609	0
